PMAID,Zipcode,Name,Feature_ID,hours,Feature_Desc
310,98199,Discovery Park,36,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Waterfront
310,98199,Discovery Park,9,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Weddings and Ceremonies
310,98199,Discovery Park,37,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>",Woods
4011,98103,Fremont Canal Park,34,4 a.m. - 11:30 p.m.,View
3917,98116,Don Armeni Park,7,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,Boat Launch (Hand Carry)
3917,98116,Don Armeni Park,6,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,Boat Launch (Motorized)
3917,98116,Don Armeni Park,33,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,Paths
3917,98116,Don Armeni Park,21,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,Picnic Sites
3917,98116,Don Armeni Park,27,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,Restrooms
3917,98116,Don Armeni Park,34,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,View
3917,98116,Don Armeni Park,36,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,Waterfront
3917,98116,Don Armeni Park,9,4 a.m. - 11:30 p.m. except for vehicles with boats trailers and permits,Weddings and Ceremonies
395,98144,Dr. Blanche Lavizzo Park,10,6 a.m. - 10 p.m.,Community Center
395,98144,Dr. Blanche Lavizzo Park,33,6 a.m. - 10 p.m.,Paths
395,98144,Dr. Blanche Lavizzo Park,42,6 a.m. - 10 p.m.,Paths (ADA Compliant)
395,98144,Dr. Blanche Lavizzo Park,41,6 a.m. - 10 p.m.,Play Area (ADA Compliant)
395,98144,Dr. Blanche Lavizzo Park,27,6 a.m. - 10 p.m.,Restrooms
433,98144,Dr. Jose Rizal Park,12,4 a.m. - 11:30 p.m.,Dog Off Leash Area
433,98144,Dr. Jose Rizal Park,58,4 a.m. - 11:30 p.m.,Hiking Trails
433,98144,Dr. Jose Rizal Park,33,4 a.m. - 11:30 p.m.,Paths
433,98144,Dr. Jose Rizal Park,21,4 a.m. - 11:30 p.m.,Picnic Sites
433,98144,Dr. Jose Rizal Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
433,98144,Dr. Jose Rizal Park,27,4 a.m. - 11:30 p.m.,Restrooms
433,98144,Dr. Jose Rizal Park,34,4 a.m. - 11:30 p.m.,View
433,98144,Dr. Jose Rizal Park,37,4 a.m. - 11:30 p.m.,Woods
705,98106,Duwamish Waterway Park,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
705,98106,Duwamish Waterway Park,34,4 a.m. - 11:30 p.m.,View
705,98106,Duwamish Waterway Park,36,4 a.m. - 11:30 p.m.,Waterfront
374,98112,East Montlake Park,36,4 a.m. - 11:30 p.m.,Waterfront
4012,98199,Eastmont Place,34,4 a.m. - 11:30 p.m.,View
1000003,98117,Eddie Vine Boat Ramp,7,24 Hours,Boat Launch (Hand Carry)
1000003,98117,Eddie Vine Boat Ramp,6,24 Hours,Boat Launch (Motorized)
1000003,98117,Eddie Vine Boat Ramp,15,24 Hours,Fishing
1000003,98117,Eddie Vine Boat Ramp,36,24 Hours,Waterfront
4454,98116,Ercolini Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
2975,98102,Fairview Park,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
2975,98102,Fairview Park,15,4 a.m. - 11:30 p.m.,Fishing
2975,98102,Fairview Park,25,4 a.m. - 11:30 p.m.,P-Patch Community Garden
2975,98102,Fairview Park,36,4 a.m. - 11:30 p.m.,Waterfront
453,98136,Fauntleroy Park,11,6 a.m. - 10 p.m.,Creek
453,98136,Fauntleroy Park,56,6 a.m. - 10 p.m.,Green Space
453,98136,Fauntleroy Park,58,6 a.m. - 10 p.m.,Hiking Trails
453,98136,Fauntleroy Park,33,6 a.m. - 10 p.m.,Paths
453,98136,Fauntleroy Park,37,6 a.m. - 10 p.m.,Woods
413,98118,Ferdinand Street Boat Ramp,7,24 hours,Boat Launch (Hand Carry)
413,98118,Ferdinand Street Boat Ramp,21,24 hours,Picnic Sites
351,98122,Firehouse Mini Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
363,98144,Flo Ware Park,4,6 a.m. - 10 p.m.,Basketball (Half)
363,98144,Flo Ware Park,41,6 a.m. - 10 p.m.,Play Area (ADA Compliant)
312,98101,Freeway Park - Jim Ellis Freeway Park,16,6 a.m. - 10 p.m.,Decorative Fountain
312,98101,Freeway Park - Jim Ellis Freeway Park,33,6 a.m. - 10 p.m.,Paths
312,98101,Freeway Park - Jim Ellis Freeway Park,42,6 a.m. - 10 p.m.,Paths (ADA Compliant)
4011,98103,Fremont Canal Park,33,4 a.m. - 11:30 p.m.,Paths
4011,98103,Fremont Canal Park,36,4 a.m. - 11:30 p.m.,Waterfront
4424,98103,Fremont Peak Park,33,4 a.m. - 11:30 p.m.,Paths
4424,98103,Fremont Peak Park,34,4 a.m. - 11:30 p.m.,View
392,98144,Frink Park,11,4 a.m. - 11:30 p.m.,Creek
392,98144,Frink Park,58,4 a.m. - 11:30 p.m.,Hiking Trails
392,98144,Frink Park,33,4 a.m. - 11:30 p.m.,Paths
392,98144,Frink Park,37,4 a.m. - 11:30 p.m.,Woods
114,98108,Jefferson Park,34,4 a.m. - 11:30 p.m.,View
293,98103,Gas Works Park,18,6 a.m. - 10 p.m.,Historic Landmark
293,98103,Gas Works Park,33,6 a.m. - 10 p.m.,Paths
293,98103,Gas Works Park,42,6 a.m. - 10 p.m.,Paths (ADA Compliant)
293,98103,Gas Works Park,21,6 a.m. - 10 p.m.,Picnic Sites
293,98103,Gas Works Park,22,6 a.m. - 10 p.m.,Play Area
293,98103,Gas Works Park,27,6 a.m. - 10 p.m.,Restrooms
293,98103,Gas Works Park,40,6 a.m. - 10 p.m.,Restrooms (ADA Compliant)
293,98103,Gas Works Park,34,6 a.m. - 10 p.m.,View
293,98103,Gas Works Park,36,6 a.m. - 10 p.m.,Waterfront
293,98103,Gas Works Park,9,6 a.m. - 10 p.m.,Weddings and Ceremonies
409,98118,Genesee Park and Playfield,12,4 a.m. - 11:30 p.m.,Dog Off Leash Area
409,98118,Genesee Park and Playfield,58,4 a.m. - 11:30 p.m.,Hiking Trails
409,98118,Genesee Park and Playfield,33,4 a.m. - 11:30 p.m.,Paths
409,98118,Genesee Park and Playfield,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
409,98118,Genesee Park and Playfield,21,4 a.m. - 11:30 p.m.,Picnic Sites
409,98118,Genesee Park and Playfield,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
409,98118,Genesee Park and Playfield,27,4 a.m. - 11:30 p.m.,Restrooms
409,98118,Genesee Park and Playfield,40,4 a.m. - 11:30 p.m.,Restrooms (ADA Compliant)
409,98118,Genesee Park and Playfield,44,4 a.m. - 11:30 p.m.,Soccer
243,98117,Golden Gardens Park,4,4 a.m. - 11:30 p.m.,Basketball (Half)
243,98117,Golden Gardens Park,7,4 a.m. - 11:30 p.m.,Boat Launch (Hand Carry)
243,98117,Golden Gardens Park,11,4 a.m. - 11:30 p.m.,Creek
243,98117,Golden Gardens Park,12,4 a.m. - 11:30 p.m.,Dog Off Leash Area
243,98117,Golden Gardens Park,14,4 a.m. - 11:30 p.m.,Fire Pit
243,98117,Golden Gardens Park,58,4 a.m. - 11:30 p.m.,Hiking Trails
243,98117,Golden Gardens Park,33,4 a.m. - 11:30 p.m.,Paths
243,98117,Golden Gardens Park,42,4 a.m. - 11:30 p.m.,Paths (ADA Compliant)
243,98117,Golden Gardens Park,21,4 a.m. - 11:30 p.m.,Picnic Sites
243,98117,Golden Gardens Park,41,4 a.m. - 11:30 p.m.,Play Area (ADA Compliant)
243,98117,Golden Gardens Park,26,4 a.m. - 11:30 p.m.,Rental Facility
243,98117,Golden Gardens Park,27,4 a.m. - 11:30 p.m.,Restrooms
243,98117,Golden Gardens Park,40,4 a.m. - 11:30 p.m.,Restrooms (ADA Compliant)
243,98117,Golden Gardens Park,34,4 a.m. - 11:30 p.m.,View
